date,before,weak,below,above,weak_start,weak_days,detail
2020-02-11,True,True,1,2,2020-02-05,7,000300.SH->000300.SH:2020-02-10:3916.0052:3945.4144:below|399101.SZ->399101.SZ:2020-02-10:9993.5202:9880.3380:above|399006.SZ->399006.SZ:2020-02-10:2042.1773:1955.9154:above|000510.SH:000510.SH:NA
2020-04-29,True,True,1,2,2020-04-27,3,000300.SH->000300.SH:2020-04-28:3849.1465:3823.8756:above|399101.SZ->399101.SZ:2020-04-28:9819.2304:9916.2491:below|399006.SZ->399006.SZ:2020-04-28:2030.7242:2019.9884:above|000510.SH:000510.SH:NA
2020-04-30,True,True,1,2,2020-04-27,4,000300.SH->000300.SH:2020-04-29:3867.0320:3830.8426:above|399101.SZ->399101.SZ:2020-04-29:9807.4135:9913.3762:below|399006.SZ->399006.SZ:2020-04-29:2030.4769:2025.2847:above|000510.SH:000510.SH:NA
2020-07-23,True,True,1,2,2020-07-22,2,000300.SH->000300.SH:2020-07-22:4714.4454:4714.4771:below|399101.SZ->399101.SZ:2020-07-22:12696.6530:12636.4477:above|399006.SZ->399006.SZ:2020-07-22:2769.0280:2760.8772:above|000510.SH:000510.SH:NA
2020-08-18,True,True,1,2,2020-08-17,2,000300.SH->000300.SH:2020-08-17:4815.2261:4723.3467:above|399101.SZ->399101.SZ:2020-08-17:13047.4687:12903.8218:above|399006.SZ->399006.SZ:2020-08-17:2696.3924:2730.4617:below|000510.SH:000510.SH:NA
2020-08-19,True,True,1,2,2020-08-17,3,000300.SH->000300.SH:2020-08-18:4812.7564:4727.0421:above|399101.SZ->399101.SZ:2020-08-18:13120.1419:12916.1817:above|399006.SZ->399006.SZ:2020-08-18:2701.0606:2717.2833:below|000510.SH:000510.SH:NA
2021-02-09,True,True,1,2,2021-02-05,5,000300.SH->000300.SH:2021-02-08:5564.5618:5469.5943:above|399101.SZ->399101.SZ:2021-02-08:12987.0585:13103.6218:below|399006.SZ->399006.SZ:2021-02-08:3278.0603:3211.4887:above|000510.SH:000510.SH:NA
2021-06-24,True,True,1,2,2021-06-18,7,000300.SH->000300.SH:2021-06-23:5147.3938:5154.3965:below|399101.SZ->399101.SZ:2021-06-23:13176.7002:12969.6623:above|399006.SZ->399006.SZ:2021-06-23:3318.9462:3247.8856:above|000510.SH:000510.SH:NA
2021-08-03,True,True,1,2,2021-07-29,6,000300.SH->000300.SH:2021-08-02:4933.7360:4952.6291:below|399101.SZ->399101.SZ:2021-08-02:13426.0217:13293.8147:above|399006.SZ->399006.SZ:2021-08-02:3493.3591:3432.0394:above|000510.SH:000510.SH:NA
2021-08-04,True,True,1,2,2021-07-29,7,000300.SH->000300.SH:2021-08-03:4934.4583:4935.1756:below|399101.SZ->399101.SZ:2021-08-03:13299.4630:13282.9620:above|399006.SZ->399006.SZ:2021-08-03:3477.2287:3433.3831:above|000510.SH:000510.SH:NA
2021-08-25,True,True,1,2,2021-08-23,3,000300.SH->000300.SH:2021-08-24:4888.3902:4896.3059:below|399101.SZ->399101.SZ:2021-08-24:13735.4335:13511.4279:above|399006.SZ->399006.SZ:2021-08-24:3330.5802:3303.8140:above|000510.SH:000510.SH:NA
2021-09-07,True,True,1,2,2021-09-06,2,000300.SH->000300.SH:2021-09-06:4933.7262:4854.9739:above|399101.SZ->399101.SZ:2021-09-06:13767.8398:13658.6152:above|399006.SZ->399006.SZ:2021-09-06:3228.0878:3234.2569:below|000510.SH:000510.SH:NA
2026-07-03,False,True,3,0,2026-07-03,0,000300.SH->000300.SH:2026-07-02:4812.2957:4942.9614:below|399101.SZ->399101.SZ:2026-07-02:15534.2578:15835.7302:below|399006.SZ->399006.SZ:2026-07-02:4017.2735:4245.9004:below|000510.SH:000510.SH:NA
