date,ths_weak,jq_weak,ths_target,jq_target,ths_pool,jq_pool,threshold_ratio,pool_diff,top10_overlap,ths_top10,jq_top10
2020-07-17,True,True,161226,159980,9,9,0.9869102038939336,0,3,"['161226', '513030', '513500']","['159980', '161226', '513030', '513500']"
2020-12-14,True,True,501018,159980,9,9,0.9957357670930476,0,2,"['501018', '513500']","['159980', '501018', '513500']"
2021-04-20,False,False,512480,512690,60,62,0.9978407274442492,-2,10,"['512480', '512690', '513100', '513500', '513030', '159995', '515210', '159967', '515170', '159981']","['512690', '513100', '512480', '513500', '513030', '159995', '515210', '159967', '515170', '159981']"
2021-05-26,False,False,512690,512010,60,63,0.9871896865163452,-3,10,"['512690', '512010', '512170', '159967', '159949', '515120', '159992', '515170', '515030', '159915']","['512010', '512170', '159967', '159949', '515120', '159992', '512690', '515170', '515030', '159915']"
2021-05-27,False,False,512690,512170,61,64,0.9809326958596684,-3,10,"['512690', '512170', '159967', '159949', '512010', '515170', '515120', '159915', '515030', '159992']","['512170', '159967', '159949', '512010', '515170', '512690', '515120', '159915', '515030', '159992']"
2021-05-28,False,False,512690,159949,62,64,0.9981054111906924,-2,9,"['512690', '159949', '515030', '515170', '159967', '512170', '512880', '159915', '512010', '512670']","['159949', '515030', '515170', '159967', '512690', '512170', '512880', '159915', '512010', '516160']"
2021-05-31,False,False,512690,515030,62,64,0.991012068556394,-2,9,"['512690', '515030', '159949', '515170', '512880', '159967', '512670', '159915', '512170', '512710']","['515030', '159949', '515170', '512690', '512880', '159967', '512670', '159915', '512170', '516160']"
2021-06-03,False,False,512690,512670,62,64,0.9911654875259324,-2,9,"['512690', '512670', '515170', '512710', '512660', '512880', '159949', '588080', '159915', '159967']","['512670', '512690', '515170', '516160', '512710', '512660', '512880', '159949', '588080', '159915']"
2021-07-01,False,False,515030,516160,64,66,0.9893603576469476,-2,9,"['515030', '588080', '515050', '516520', '501018', '159967', '513100', '159851', '515880', '515980']","['516160', '515030', '588080', '515050', '516520', '501018', '159967', '513100', '159851', '515880']"
2021-07-02,False,False,515030,516160,64,66,0.9865272793755486,-2,9,"['515030', '588080', '516520', '501018', '515050', '159967', '513100', '159949', '515980', '159819']","['516160', '515030', '588080', '516520', '501018', '515050', '159967', '513100', '159949', '515980']"
2021-07-21,True,True,511880,159985,9,9,0.9856256925371856,0,0,[],['159985']
2021-08-31,False,False,512400,516150,67,69,0.9827782220678056,-2,9,"['512400', '515790', '510880', '512670', '512660', '512890', '159766', '512880', '512710', '512100']","['516150', '512400', '515790', '510880', '512670', '512660', '512890', '159766', '512880', '512710']"
2021-09-10,False,False,512890,516150,67,69,0.9903169634812312,-2,9,"['512890', '159766', '512880', '512400', '513090', '510500', '159981', '513520', '512070', '512980']","['516150', '512890', '159766', '512880', '512400', '513090', '510500', '159981', '513520', '512980']"
2021-11-30,False,False,516520,516150,70,72,0.9780033043387878,-2,9,"['516520', '515880', '512670', '562800', '512660', '512100', '159732', '515050', '159851', '512480']","['516150', '516520', '515880', '512670', '562800', '512660', '512100', '159732', '515050', '159851']"
2021-12-01,False,False,562800,516150,70,72,0.9809323620094698,-2,9,"['562800', '516520', '515880', '512670', '512100', '159851', '512660', '159732', '515050', '512480']","['516150', '562800', '516520', '515880', '512670', '512100', '159851', '512660', '159732', '515050']"
2021-12-09,False,False,562800,516150,70,72,0.9857825203643809,-2,9,"['562800', '515210', '512690', '159851', '512400', '515220', '516520', '159732', '512200', '515170']","['516150', '562800', '515210', '512690', '159851', '512400', '515220', '516520', '159732', '512200']"
2021-12-10,False,False,512690,516150,70,72,0.9909122058493298,-2,9,"['512690', '562800', '515210', '159851', '515220', '515170', '159732', '512400', '516520', '512890']","['516150', '512690', '562800', '515210', '159851', '515220', '515170', '159732', '512400', '516520']"
2022-03-29,True,True,513500,513100,9,9,0.984447425285915,0,3,"['513500', '513100', '159980', '513030']","['513100', '159980', '513030']"
2024-11-25,True,True,159529,159518,17,17,0.9919559158134243,0,4,"['159529', '513500', '513400', '513100']","['159518', '159529', '513500', '513400', '513100']"
2025-07-22,False,False,515210,516150,109,111,0.9980382376755644,-2,9,"['515210', '562800', '515790', '159949', '159509', '516510', '560860', '515120', '159992', '159915']","['516150', '515210', '562800', '515790', '159949', '159509', '516510', '560860', '515120', '159992']"
2025-09-04,False,False,515790,516160,111,113,0.9914110295261837,-2,9,"['515790', '515030', '516520', '512980', '512050', '159870', '510500', '510300', '562500', '159869']","['516160', '515790', '515030', '516520', '512980', '512050', '159870', '510500', '510300', '562500']"
2025-09-09,False,False,562800,516150,111,113,0.9949357482999388,-2,9,"['562800', '512480', '159732', '159967', '516510', '159870', '588220', '516520', '159667', '513310']","['516150', '562800', '512480', '159732', '159967', '516510', '159870', '588220', '516520', '159667']"
2025-11-14,False,False,159766,516160,112,114,0.9954651292158048,-2,9,"['159766', '159326', '513310', '513290', '159566', '159870', '513190', '561360', '513920', '513630']","['516160', '159766', '159326', '513310', '513290', '159566', '159870', '513190', '561360', '513920']"
2026-07-02,False,False,513290,159667,112,114,1.0025230356594008,-2,9,"['513290', '512880', '513520', '510500', '562800', '159870', '512070', '512100', '513400']","['159667', '513290', '512880', '513520', '510500', '562800', '159870', '512070', '512100', '513400']"
