date,ths_time,ths_value,ths_positions,ths_symbol,jq_time,jq_value,jq_positions,jq_symbol,symbol_match,value_diff,value_ratio
2020-04-01,15:30:00,945792.9,511880.SH:9200:926605.60,511880,15:10:00,950937.68,511880.XSHG:9400:946749.20,511880,True,-5144.780000000028,0.994589782161119
2020-06-01,15:30:00,1124040.4,161226.SZ:1290800:1121705.20,161226,15:10:00,1132841.72,161226.XSHE:1301100:1130655.90,161226,True,-8801.320000000065,0.9922307592979538
2020-07-01,15:30:00,1102638.26,,,15:10:00,1113882.76,,,True,-11244.5,0.9899051314879853
2020-07-17,15:30:00,1220078.55,161226.SZ:1405600:1217249.60,161226,15:10:00,1231133.03,159980.XSHE:1212700:1228465.10,159980,False,-11054.479999999981,0.9910208891073291
2020-09-01,15:30:00,1370898.9,159928.SZ:280800:1367496.00,159928,15:10:00,1506324.83,159928.XSHE:308600:1502882.00,159928,True,-135425.93000000017,0.9100951353235012
2020-12-01,15:30:00,1421888.49,513520.SH:1108100:1387341.20,513520,15:10:00,1562070.95,513520.XSHG:1245000:1558740.00,513520,True,-140182.45999999996,0.9102585833249124
2020-12-14,15:30:00,1446911.42,501018.SH:2564300:1446265.20,501018,15:10:00,1548094.67,159980.XSHE:1315900:1544866.60,159980,False,-101183.25,0.9346401405800331
2021-02-01,15:30:00,1679020.43,511880.SH:16600:1665212.40,511880,15:10:00,1829898.46,511880.XSHG:18200:1825714.80,511880,True,-150878.03000000003,0.9175484141344105
2021-03-01,15:30:00,1745848.08,159980.SZ:1336700:1743056.80,159980,15:10:00,1905200.2,159980.XSHE:1457900:1901101.60,159980,True,-159352.11999999988,0.9163593831241463
2021-04-01,15:30:00,1832731.73,513030.SH:1237100:1494416.80,513030,15:10:00,2007390.91,513030.XSHG:1658300:2003226.40,513030,True,-174659.17999999993,0.9129919443542763
2021-04-20,15:30:00,1821288.18,512480.SH:1908800:1817177.60,512480,15:10:00,1969606.44,512690.XSHG:771900:1965257.40,512690,False,-148318.26,0.9246964992661173
2021-05-26,15:30:00,1755439.55,512690.SH:1194700:1751430.20,512690,15:10:00,1943063.31,512010.XSHG:589500:1938865.50,512010,False,-187623.76,0.9034391936513896
2021-05-27,15:30:00,1767386.55,512690.SH:1194700:1763377.20,512690,15:10:00,1958508.68,512170.XSHG:2147700:1954407.00,512170,False,-191122.1299999999,0.9024144585358693
2021-05-28,15:30:00,1770970.65,512690.SH:1194700:1766961.30,512690,15:10:00,1913361.49,159949.XSHE:1360800:1909202.40,159949,False,-142390.84000000008,0.9255807955035198
2021-05-31,15:30:00,1775749.45,512690.SH:1194700:1771740.10,512690,15:10:00,1970023.59,515030.XSHG:1039000:1965788.00,515030,False,-194274.14000000013,0.9013848661578717
2021-06-01,15:30:00,1785429.55,515030.SH:950500:1782187.50,515030,15:10:00,1952360.59,515030.XSHG:1039000:1948125.00,515030,True,-166931.04000000004,0.9144978438639759
2021-06-03,15:30:00,1787004.19,512690.SH:1197400:1782928.60,512690,15:10:00,1950365.14,512670.XSHG:1119800:1946212.40,512670,False,-163360.94999999995,0.9162408378566488
2021-07-01,15:30:00,1810811.86,515030.SH:864000:1806624.00,515030,15:10:00,2020779.13,516160.XSHG:1831500:2016481.50,516160,False,-209967.2699999998,0.8960958835714026
2021-07-02,15:30:00,1804763.86,515030.SH:864000:1800576.00,515030,15:10:00,2006127.13,516160.XSHG:1831500:2001829.50,516160,False,-201363.2699999998,0.899625867678685
2021-07-21,15:30:00,1741526.56,511880.SH:17000:1722270.00,511880,15:10:00,1928835.88,159985.XSHE:1461400:1924663.80,159985,False,-187309.31999999983,0.9028899649046347
2021-08-31,15:30:00,2118003.57,512400.SH:1264700:2113313.70,512400,15:10:00,2363783.49,516150.XSHG:1383500:2358867.50,516150,False,-245779.9200000004,0.8960226598418283
2021-09-01,15:30:00,2004624.1,513100.SH:384600:1999920.00,513100,15:10:00,2263994.06,513100.XSHG:434400:2258880.00,513100,True,-259369.95999999996,0.8854369962437092
2021-09-10,15:30:00,2084206.82,512890.SH:582200:1006623.80,512890,15:10:00,2382453.86,516150.XSHG:1386200:2377333.00,516150,False,-298247.0399999998,0.8748151873967457
2021-11-01,15:30:00,2313183.05,515790.SH:1237500:2306700.00,515790,15:10:00,2771689.12,515790.XSHG:1483700:2765616.80,515790,True,-458506.0700000003,0.8345752174399702
2021-11-30,15:30:00,2147032.3,516520.SH:1737400:2142214.20,516520,15:10:00,2615290.62,516150.XSHG:1575800:2609524.80,516150,False,-468258.3200000003,0.8209536192960458
2021-12-01,15:30:00,2126354.7,562800.SH:2140800:2123673.60,562800,15:10:00,2588502.02,516150.XSHG:1575800:2582736.20,516150,False,-462147.31999999983,0.8214614798716673
2021-12-09,15:30:00,2035115.93,562800.SH:2102000:2030532.00,562800,15:10:00,2479870.21,516150.XSHG:1532200:2474503.00,516150,False,-444754.28,0.8206542107701676
2021-12-10,15:30:00,2071713.18,512690.SH:1482800:2065540.40,512690,15:10:00,2496724.41,516150.XSHG:1532200:2491357.20,516150,False,-425011.2300000002,0.8297724697616906
2022-03-01,15:30:00,2496450.13,501018.SH:2295800:2490943.00,501018,15:10:00,3071089.67,501018.XSHG:2824600:3064691.00,501018,True,-574639.54,0.8128874107410872
2022-03-29,15:30:00,2843046.63,,,15:10:00,3506123.22,513100.XSHG:3577400:3498697.20,513100,False,-663076.5900000003,0.8108804088180335
2022-04-01,15:30:00,2791105.18,513100.SH:2862000:2784726.00,513100,15:10:00,3488236.22,513100.XSHG:3577400:3480810.20,513100,True,-697131.04,0.8001479842440258
2022-06-01,15:30:00,2678158.03,516520.SH:2978900:2675052.20,516520,15:10:00,3445498.36,516520.XSHG:3828700:3438172.60,516520,True,-767340.3300000001,0.7772919183743277
2022-07-01,15:30:00,2979968.85,512690.SH:3210900:2973293.40,512690,15:10:00,3794244.69,512690.XSHG:4088700:3786136.20,512690,True,-814275.8399999999,0.7853918483048599
2022-08-01,15:30:00,3121509.09,513100.SH:3515500:3114733.00,513100,15:10:00,3970831.28,513100.XSHG:4472500:3962635.00,513100,True,-849322.19,0.786109726122637
2022-09-01,15:30:00,3058081.02,511880.SH:30000:3039660.00,511880,15:10:00,3917994.69,511880.XSHG:38500:3900897.00,511880,True,-859913.6699999999,0.7805219919785037
2022-11-01,15:30:00,3060951.97,513030.SH:2764900:2684717.90,513030,15:10:00,3956283.8,513030.XSHG:4065900:3947988.90,513030,True,-895331.8299999996,0.773693729959413
2022-12-01,15:30:00,3078628.17,513090.SH:2625400:2840682.80|513520.SH:217300:237943.50,513090,15:10:00,4062582.49,513520.XSHG:47500:52012.50|513090.XSHG:3706900:4010865.80,513520,False,-983954.3200000003,0.7578007776034105
2023-02-01,15:30:00,3361646.24,159852.SZ:3560800:3357834.40,159852,15:10:00,4475725.97,159852.XSHE:4736400:4466425.20,159852,True,-1114079.7299999995,0.7510840168796126
2023-03-01,15:30:00,3519948.07,511880.SH:34800:3492771.60,511880,15:10:00,4703007.58,511880.XSHG:46700:4687138.90,511880,True,-1183059.5100000002,0.7484461826021551
2023-06-01,15:30:00,4306192.9,513100.SH:4175900:4301177.00,513100,15:10:00,6225620.52,513100.XSHG:6032100:6213063.00,513100,True,-1919427.6199999992,0.6916889466947466
2023-08-01,15:30:00,5136729.88,501018.SH:1338900:1669608.30,501018,15:10:00,7529194.1,501018.XSHG:5355771:6678646.44,501018,True,-2392464.2199999997,0.6822416598344835
2023-09-01,15:30:00,5132228.22,159985.SZ:2182700:5122796.90,159985,15:10:00,7416581.38,159985.XSHE:3153400:7401029.80,159985,True,-2284353.16,0.6919937848777438
2023-11-01,15:30:00,4675558.46,561980.SH:3379100:3561571.40,561980,15:10:00,6647190.23,561980.XSHG:6293200:6633032.80,561980,True,-1971631.7700000005,0.7033886948049627
2023-12-01,15:30:00,4554947.74,513030.SH:1597100:1980404.00,513030,15:10:00,6536160.57,513030.XSHG:5260100:6522524.00,513030,True,-1981212.83,0.6968843086423747
2024-02-01,15:30:00,5657556.32,501018.SH:3007600:3678294.80,501018,15:10:00,8286071.34,501018.XSHG:6760900:8268580.70,501018,True,-2628515.0199999996,0.6827790985444255
2024-03-01,15:30:00,6425226.06,159509.SZ:4680900:6417513.90,159509,15:10:00,9339455.35,159509.XSHE:6799700:9322388.70,159509,True,-2914229.29,0.6879658201910028
2024-04-01,15:30:00,7247146.32,159518.SZ:6144900:6747100.20,159518,15:10:00,10343968.92,159518.XSHE:9401700:10323066.60,159518,True,-3096822.5999999996,0.7006156317801465
2024-07-01,15:30:00,8482364.14,159509.SZ:4926400:8458628.80,159509,15:10:00,12079710.37,159509.XSHE:7020600:12054370.20,159509,True,-3597346.2299999986,0.7021992978462447
2024-08-01,15:30:00,8734342.9,159502.SZ:7966400:8715241.60,159502,15:10:00,12453812.77,159502.XSHE:11360000:12427840.00,159502,True,-3719469.869999999,0.7013388639533884
2024-11-01,15:30:00,10666176.33,518880.SH:1759000:10643709.00,518880,15:10:00,15601552.1,518880.XSHG:2572800:15568012.80,518880,True,-4935375.77,0.6836612320129355
2024-11-25,15:30:00,11973509.24,159529.SZ:1966800:2558806.80,159529,15:10:00,17584235.18,159518.XSHE:16664400:17547613.20,159518,False,-5610725.9399999995,0.680922947028055
