symbol,rows,first_date,last_date
159922,1686,2019-07-22,2026-07-06
159928,1686,2019-07-22,2026-07-06
159939,1686,2019-07-22,2026-07-06
159941,1686,2019-07-22,2026-07-06
159966,1686,2019-07-22,2026-07-06
159967,1686,2019-07-22,2026-07-06
510170,1684,2019-07-22,2026-07-06
510210,1685,2019-07-22,2026-07-06
510310,1686,2019-07-22,2026-07-06
512000,1686,2019-07-22,2026-07-06
512010,1685,2019-07-22,2026-07-06
512040,1686,2019-07-22,2026-07-06
512070,1685,2019-07-22,2026-07-06
512100,1685,2019-07-22,2026-07-06
512170,1685,2019-07-22,2026-07-06
512200,1686,2019-07-22,2026-07-06
512480,1685,2019-07-22,2026-07-06
512670,1677,2019-08-01,2026-07-06
512690,1685,2019-07-22,2026-07-06
512710,1660,2019-08-26,2026-07-06
512760,1685,2019-07-22,2026-07-06
512800,1686,2019-07-22,2026-07-06
512890,1685,2019-07-22,2026-07-06
513100,1685,2019-07-22,2026-07-06
513500,1685,2019-07-22,2026-07-06
515000,1667,2019-08-16,2026-07-06
515880,1652,2019-09-06,2026-07-06
